user_id,item_id,item_type,interaction
1,2003,exercise,1
1,350,exercise,1
1,2119,exercise,1
1,2078,exercise,1
1,2740,exercise,1
1,1338,exercise,1
1,2166,exercise,1
1,994,exercise,1
1,2135,exercise,1
1,2177,exercise,1
1,2236,exercise,1
1,885,exercise,1
1,2124,exercise,1
1,2076,exercise,1
1,2739,exercise,1
1,2176,exercise,1
1,2192,exercise,1
1,2072,exercise,1
1,2077,exercise,1
1,2172,exercise,1
2,2072,exercise,1
2,2172,exercise,1
2,2077,exercise,1
2,2177,exercise,1
2,2124,exercise,1
2,2031,exercise,1
2,2170,exercise,1
2,2176,exercise,1
2,150,exercise,1
2,2168,exercise,1
2,1730,exercise,1
2,2160,exercise,1
2,2076,exercise,1
2,2067,exercise,1
2,2178,exercise,1
2,2208,exercise,1
2,2740,exercise,1
2,2125,exercise,1
2,2079,exercise,1
2,2078,exercise,1
3,384,exercise,1
3,2131,exercise,1
3,1622,exercise,1
3,1027,exercise,1
3,274,exercise,1
3,2336,exercise,1
3,441,exercise,1
3,2171,exercise,1
3,347,exercise,1
3,1269,exercise,1
3,2136,exercise,1
3,579,exercise,1
3,328,exercise,1
3,279,exercise,1
3,858,exercise,1
3,1271,exercise,1
3,353,exercise,1
3,970,exercise,1
3,397,exercise,1
3,2188,exercise,1
4,2324,exercise,1
4,2143,exercise,1
4,519,exercise,1
4,2154,exercise,1
4,2123,exercise,1
4,615,exercise,1
4,1032,exercise,1
4,332,exercise,1
4,536,exercise,1
4,987,exercise,1
4,520,exercise,1
4,2342,exercise,1
4,2173,exercise,1
4,1038,exercise,1
4,687,exercise,1
4,1526,exercise,1
4,300,exercise,1
4,961,exercise,1
4,251,exercise,1
4,1508,exercise,1
5,1034,exercise,1
5,321,exercise,1
5,618,exercise,1
5,1394,exercise,1
5,673,exercise,1
5,2730,exercise,1
5,2206,exercise,1
5,2335,exercise,1
5,478,exercise,1
5,1028,exercise,1
5,471,exercise,1
5,991,exercise,1
5,1024,exercise,1
5,2273,exercise,1
5,2213,exercise,1
5,2147,exercise,1
5,692,exercise,1
5,470,exercise,1
5,2891,exercise,1
5,2733,exercise,1
6,195,exercise,1
6,466,exercise,1
6,645,exercise,1
6,689,exercise,1
6,1953,exercise,1
6,2811,exercise,1
6,275,exercise,1
6,1771,exercise,1
6,1758,exercise,1
6,2809,exercise,1
6,2238,exercise,1
6,2500,exercise,1
6,1094,exercise,1
6,2599,exercise,1
6,48,exercise,1
6,490,exercise,1
6,2544,exercise,1
6,1178,exercise,1
6,1572,exercise,1
6,477,exercise,1
7,2286,exercise,1
7,509,exercise,1
7,2325,exercise,1
7,192,exercise,1
7,1025,exercise,1
7,2733,exercise,1
7,551,exercise,1
7,2747,exercise,1
7,403,exercise,1
7,1280,exercise,1
7,593,exercise,1
7,499,exercise,1
7,2161,exercise,1
7,516,exercise,1
7,187,exercise,1
7,1526,exercise,1
7,2409,exercise,1
7,227,exercise,1
7,418,exercise,1
7,2149,exercise,1
8,976,exercise,1
8,304,exercise,1
8,979,exercise,1
8,347,exercise,1
8,361,exercise,1
8,2391,exercise,1
8,327,exercise,1
8,443,exercise,1
8,448,exercise,1
8,2369,exercise,1
8,524,exercise,1
8,1028,exercise,1
8,2262,exercise,1
8,619,exercise,1
8,597,exercise,1
8,1400,exercise,1
8,2225,exercise,1
8,2172,exercise,1
8,2306,exercise,1
8,2907,exercise,1
9,433,exercise,1
9,993,exercise,1
9,698,exercise,1
9,317,exercise,1
9,1610,exercise,1
9,229,exercise,1
9,909,exercise,1
9,689,exercise,1
9,200,exercise,1
9,331,exercise,1
9,306,exercise,1
9,906,exercise,1
9,324,exercise,1
9,250,exercise,1
9,1594,exercise,1
9,338,exercise,1
9,2900,exercise,1
9,985,exercise,1
9,1252,exercise,1
9,2405,exercise,1
10,2541,exercise,1
